Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, Spline 7, Spline 8, Spline 9, Spline 10, Spline 11, Spline 12, Spline 13, Spline 14, Spline 15, Spline 16, Spline 17, Spline 18
3.308271e-01, 0, 0, 6.243993e-02, 7.285036e-01, 2.090565e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.358396e-01, 0, 0, 4.907318e-02, 7.151368e-01, 2.357900e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.408521e-01, 0, 0, 3.731446e-02, 6.985540e-01, 2.641315e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.458647e-01, 0, 0, 2.716377e-02, 6.787552e-01, 2.940811e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.508772e-01, 0, 0, 1.862111e-02, 6.557402e-01, 3.256387e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.558897e-01, 0, 0, 1.168648e-02, 6.295092e-01, 3.588043e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.609023e-01, 0, 0, 6.359885e-03, 6.000622e-01, 3.935779e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.659148e-01, 0, 0, 2.641315e-03, 5.673991e-01, 4.299596e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.709273e-01, 0, 0, 5.307756e-04, 5.315199e-01, 4.679493e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.759398e-01, 0, 0, 0, 4.925095e-01, 5.074623e-01, 2.826615e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.809524e-01, 0, 0, 0, 4.535147e-01, 5.453515e-01, 1.133787e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.859649e-01, 0, 0, 0, 4.161280e-01, 5.800246e-01, 3.847338e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.909774e-01, 0, 0, 0, 3.803494e-01, 6.114817e-01, 8.168919e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.959900e-01, 0, 0, 0, 3.461787e-01, 6.397227e-01, 1.409853e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
