Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, Spline 7, Spline 8, Spline 9, Spline 10
8.291457e-01, 0, 0, 0, 0, 0, 0, 6.728365e-02, 7.322669e-01, 2.004495e-01, 0, 
8.341709e-01, 0, 0, 0, 0, 0, 0, 5.334461e-02, 7.199439e-01, 2.267114e-01, 0, 
8.391960e-01, 0, 0, 0, 0, 0, 0, 4.102169e-02, 7.043888e-01, 2.545895e-01, 0, 
8.442211e-01, 0, 0, 0, 0, 0, 0, 3.031489e-02, 6.856014e-01, 2.840837e-01, 0, 
8.492462e-01, 0, 0, 0, 0, 0, 0, 2.122421e-02, 6.635817e-01, 3.151941e-01, 0, 
8.542714e-01, 0, 0, 0, 0, 0, 0, 1.374965e-02, 6.383298e-01, 3.479205e-01, 0, 
8.592965e-01, 0, 0, 0, 0, 0, 0, 7.891215e-03, 6.098457e-01, 3.822631e-01, 0, 
8.643216e-01, 0, 0, 0, 0, 0, 0, 3.648898e-03, 5.781293e-01, 4.182218e-01, 0, 
8.693467e-01, 0, 0, 0, 0, 0, 0, 1.022701e-03, 5.431807e-01, 4.557966e-01, 0, 
8.743719e-01, 0, 0, 0, 0, 0, 0, 1.262594e-05, 5.049999e-01, 4.949875e-01, 0, 
8.793970e-01, 0, 0, 0, 0, 0, 0, 0, 4.654428e-01, 5.333199e-01, 1.237342e-03, 
8.844221e-01, 0, 0, 0, 0, 0, 0, 0, 4.274640e-01, 5.668544e-01, 5.681675e-03, 
8.894472e-01, 0, 0, 0, 0, 0, 0, 0, 3.911012e-01, 5.955405e-01, 1.335825e-02, 
8.944724e-01, 0, 0, 0, 0, 0, 0, 0, 3.563546e-01, 6.193783e-01, 2.426706e-02, 
8.994975e-01, 0, 0, 0, 0, 0, 0, 0, 3.232242e-01, 6.383677e-01, 3.840812e-02, 
9.045226e-01, 0, 0, 0, 0, 0, 0, 0, 2.917098e-01, 6.525088e-01, 5.578142e-02, 
9.095477e-01, 0, 0, 0, 0, 0, 0, 0, 2.618116e-01, 6.618015e-01, 7.638696e-02, 
9.145729e-01, 0, 0, 0, 0, 0, 0, 0, 2.335295e-01, 6.662458e-01, 1.002247e-01, 
9.195980e-01, 0, 0, 0, 0, 0, 0, 0, 2.068635e-01, 6.658418e-01, 1.272948e-01, 
9.246231e-01, 0, 0, 0, 0, 0, 0, 0, 1.818136e-01, 6.605894e-01, 1.575970e-01, 
9.296482e-01, 0, 0, 0, 0, 0, 0, 0, 1.583798e-01, 6.504886e-01, 1.911315e-01, 
9.346734e-01, 0, 0, 0, 0, 0, 0, 0, 1.365622e-01, 6.355395e-01, 2.278983e-01, 
9.396985e-01, 0, 0, 0, 0, 0, 0, 0, 1.163607e-01, 6.157420e-01, 2.678973e-01, 
9.447236e-01, 0, 0, 0, 0, 0, 0, 0, 9.777531e-02, 5.910962e-01, 3.111285e-01, 
9.497487e-01, 0, 0, 0, 0, 0, 0, 0, 8.080604e-02, 5.616020e-01, 3.575920e-01, 
